epoch,loss_qa,loss_match,loss_both,train_accuracy
1,2.467864751815796,0.6876669526100159,2.8116981983184814,24.767540152155537
2,1.3348835706710815,0.6867730617523193,1.6782701015472412,36.80714889506098
3,1.57993745803833,0.6818084716796875,1.9208416938781738,47.57879483154208
4,1.0203591585159302,0.6785918474197388,1.3596551418304443,51.46721410457674
5,0.6480308771133423,0.6817371845245361,0.9888994693756104,53.0974519985509
6,1.5112009048461914,0.6868886947631836,1.8546452522277832,54.51032483999517
7,1.21536123752594,0.6924957036972046,1.5616090297698975,54.981282453809925
8,1.7053719758987427,0.6850718259811401,2.047907829284668,56.768506219055666
9,1.0307872295379639,0.6773383021354675,1.36945641040802,59.03876343436783
10,1.182733416557312,0.6715825200080872,1.5185246467590332,59.69085859195749
11,1.2271922826766968,0.6687607765197754,1.5615726709365845,60.149740369520586
12,1.7196890115737915,0.6823795437812805,2.0608787536621094,60.11351286076561
13,0.7380419969558716,0.6774989366531372,1.076791524887085,60.415408767057116
14,0.8345293402671814,0.6752923727035522,1.1721755266189575,60.862214708368555
15,1.0364489555358887,0.6895961761474609,1.3812470436096191,61.24864146842169
16,1.2853847742080688,0.6687173843383789,1.6197434663772583,61.478082357203235
17,1.3221975564956665,0.694609522819519,1.6695022583007812,61.85243328100471
18,0.7639944553375244,0.6667637825012207,1.0973763465881348,62.1301775147929
19,1.1284891366958618,0.6832050085067749,1.4700915813446045,61.936964134766335
20,1.077462911605835,0.6736375689506531,1.4142817258834839,62.093950006037915
21,1.233656644821167,0.6785039901733398,1.572908639907837,62.17848085979954
22,1.425341010093689,0.6664907336235046,1.7585864067077637,62.14225335104456
23,0.9683262705802917,0.6882447600364685,1.3124486207962036,62.214708368554525
24,1.0701981782913208,0.6711357235908508,1.4057660102844238,62.32339089481947
25,1.4140777587890625,0.6766258478164673,1.7523906230926514,62.23886004105784
26,1.2374738454818726,0.6861870884895325,1.5805673599243164,62.359618403574444
27,1.186721920967102,0.6822229027748108,1.527833342552185,62.40792174858109
28,0.8269516825675964,0.6724653244018555,1.163184404373169,62.480376766091055
29,0.7853274345397949,0.6745209097862244,1.1225879192352295,62.31131505856781
30,1.0720149278640747,0.6812427043914795,1.4126362800598145,62.39584591232943
