epoch,loss_qa,loss_match,loss_both,train_accuracy
1,2.361588716506958,0.6934130787849426,2.7082953453063965,24.53809926337399
2,1.261866569519043,0.6931679844856262,1.6084505319595337,39.149861127883106
3,1.508012294769287,0.6931586861610413,1.8545916080474854,50.85134645574206
4,0.9780163764953613,0.6931618452072144,1.3245973587036133,55.06581330757155
5,0.6669377088546753,0.6931551098823547,1.0135152339935303,57.71042144668518
6,1.2840381860733032,0.6931520700454712,1.6306142807006836,59.65463108320251
7,1.1631988286972046,0.6931506395339966,1.5097742080688477,61.0312764158918
8,1.5392664670944214,0.6931512355804443,1.8858420848846436,63.51889868373385
9,0.7838612198829651,0.6931495070457458,1.1304359436035156,66.68276778166889
10,0.9868271350860596,0.6931492686271667,1.3334017992019653,67.43146962927183
11,1.0697288513183594,0.6931493878364563,1.4163035154342651,67.98695809684821
12,1.435996413230896,0.6931492686271667,1.7825710773468018,68.42168820190798
13,0.6330839395523071,0.6931491494178772,0.9796584844589233,68.75981161695448
14,0.765053391456604,0.6931487917900085,1.1116278171539307,68.86849414321942
15,0.7485992312431335,0.6931494474411011,1.095173954963684,69.29114841202754
16,1.1432536840438843,0.6931487917900085,1.489828109741211,69.26699673952422
17,0.9163261651992798,0.6931489706039429,1.2629005908966064,69.95531940586886
18,0.5819554924964905,0.6931490302085876,0.9285299777984619,69.89494022461055
19,0.9095483422279358,0.6931489109992981,1.2561228275299072,70.20891196715372
20,0.9613754153251648,0.6931488513946533,1.3079497814178467,70.0640019321338
21,1.1022348403930664,0.6931491494178772,1.4488093852996826,70.25721531216037
22,1.1345679759979248,0.6931493878364563,1.4811426401138306,70.14853278589543
23,0.7952450513839722,0.6931490302085876,1.1418195962905884,70.25721531216037
24,0.8805614709854126,0.6931487917900085,1.2271358966827393,70.31759449341867
25,1.245327115058899,0.6931490302085876,1.5919016599655151,70.31759449341867
26,0.9487242102622986,0.6931489109992981,1.29529869556427,70.1847602946504
27,1.024829626083374,0.6931485533714294,1.3714039325714111,70.10022944088878
28,0.793547511100769,0.6931490302085876,1.1401220560073853,70.25721531216037
29,0.655098021030426,0.6931490898132324,1.0016725063323975,70.31759449341867
30,0.7941457629203796,0.6931489706039429,1.140720248222351,70.29344282091535
