epoch,loss_qa,loss_match,loss_both,train_accuracy
1,1.381636142730713,0.37021178007125854,1.5667420625686646,33.715734814635915
2,0.7916646599769592,0.21079705655574799,0.8970631957054138,48.60524091293322
3,1.01136314868927,0.1548277884721756,1.0887770652770996,55.13826832508151
4,1.0484431982040405,0.10897422581911087,1.1029303073883057,59.533872720685906
5,0.5956909656524658,0.0946764424443245,0.6430292129516602,63.2894577949523
6,0.7904493808746338,0.05454191565513611,0.817720353603363,66.38087187537737
7,1.159444808959961,0.043537311255931854,1.1812134981155396,68.53037072817293
8,1.88169527053833,0.05029107630252838,1.9068408012390137,71.09044801352493
9,0.5276227593421936,0.028270401060581207,0.5417579412460327,76.3796642917522
10,0.5756655931472778,0.010591148398816586,0.5809611678123474,77.8166888056998
11,0.6942994594573975,0.023047473281621933,0.7058231830596924,78.61369399830939
12,0.8542225956916809,0.017607470974326134,0.8630263209342957,79.7367467697138
13,0.2750764489173889,0.014141217805445194,0.28214704990386963,79.7367467697138
14,0.6839501261711121,0.03790989890694618,0.7029050588607788,80.1352493660186
15,0.3991200923919678,0.033964019268751144,0.4161021113395691,80.66658616109166
16,0.3265033960342407,0.03896498680114746,0.34598588943481445,81.14961961115807
17,0.4945537745952606,0.02591223642230034,0.5075098872184753,82.5141891075957
18,0.24631039798259735,0.02255028299987316,0.2575855255126953,82.5141891075957
19,0.29405879974365234,0.006982814054936171,0.2975502014160156,82.53834078009902
20,0.6987771987915039,0.02703935094177723,0.7122969031333923,82.80400917763555
21,0.8421445488929749,0.005016518756747246,0.8446528315544128,82.8523125226422
22,0.6128947734832764,0.01588588021695614,0.6208376884460449,82.67117497886728
23,0.6187328100204468,0.0035391980782151222,0.6205024123191833,82.7919333413839
24,0.7169294357299805,0.018172912299633026,0.7260158658027649,82.76778166888057
25,0.6472753882408142,0.003535958705469966,0.6490433812141418,82.98514672141046
26,0.26906341314315796,0.019640237092971802,0.27888351678848267,82.99722255766211
27,0.43418964743614197,0.008877672255039215,0.43862849473953247,83.00929839391378
28,0.503811240196228,0.03121059015393257,0.5194165110588074,82.86438835889385
29,0.3126625120639801,0.0482722744345665,0.33679863810539246,83.08175341142375
30,0.3703676760196686,0.003857315517961979,0.3722963333129883,83.0334500664171
