epoch,loss_qa,loss_match,loss_both
1,2.3555612564086914,0.6931470632553101,2.702134847640991
2,1.3815069198608398,0.6931472420692444,1.7280805110931396
3,1.6692907810211182,0.6931471228599548,2.015864372253418
4,0.9950118064880371,0.6931472420692444,1.341585397720337
5,0.7423653602600098,0.6931472420692444,1.0889389514923096
6,1.4794193506240845,0.6931473612785339,1.8259930610656738
7,1.2852228879928589,0.6931472420692444,1.6317964792251587
8,1.806132197380066,0.6931472420692444,2.1527059078216553
9,1.0284963846206665,0.6931472420692444,1.3750699758529663
10,1.322562575340271,0.6931472420692444,1.6691361665725708
11,1.307344913482666,0.6931472420692444,1.6539185047149658
12,1.7455554008483887,0.6931472420692444,2.0921289920806885
13,0.9345948696136475,0.6931471824645996,1.2811684608459473
14,0.9071798920631409,0.6931471228599548,1.253753423690796
15,1.1309975385665894,0.6931472420692444,1.4775711297988892
16,1.4331862926483154,0.6931472420692444,1.7797598838806152
17,1.391017198562622,0.6931472420692444,1.7375907897949219
18,0.8632983565330505,0.6931471824645996,1.2098720073699951
19,1.2664183378219604,0.6931471824645996,1.6129919290542603
20,1.1415785551071167,0.6931473612785339,1.488152265548706
21,1.2726725339889526,0.6931473612785339,1.619246244430542
22,1.5771633386611938,0.6931471824645996,1.9237369298934937
23,1.2101457118988037,0.6931471824645996,1.5567193031311035
24,1.1269017457962036,0.6931473612785339,1.473475456237793
25,1.4934130907058716,0.6931471824645996,1.8399866819381714
26,1.139216661453247,0.6931471824645996,1.4857902526855469
27,1.3150700330734253,0.6931473612785339,1.6616437435150146
28,0.9016777276992798,0.6931471824645996,1.2482513189315796
29,1.0130757093429565,0.6931472420692444,1.3596493005752563
30,1.2635101079940796,0.6931471824645996,1.6100836992263794
